연번,계약번호,구분,계약명,계약일자,계약시작일,계약종료일,계약금액,거래처,계약방법,수의계약사유,구매요구부서,출처파일,시트명
53,L20210291,물품구매,위성소프트웨어 검증용 시뮬레이터 (TSIM3 LEON4) 구매,2021-02-17,2021-02-17,2021-03-31,34100000.0,(주)쎄트렉아이,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
54,L20210296,물품구매,부가처리시스템 S/W 유지보수(라이선스 구입),2021-02-17,2021-02-17,2021-03-18,54840000.0,(주)인디웨어,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
55,L20210302,제작,"다목적실용위성 7A호 탑재체 EOS 조립, 정렬 지상시험장비 추가 제작",2021-02-17,2021-02-17,2021-06-30,90500000.0,제이엔티(주),수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
56,L20210303,용역,발사대온도제어시스템 컴프레서 및 디젤엔진 유닛과 열제어 화재안전 시험설비 유지보수 용역,2021-02-17,2021-02-17,2021-11-09,191000000.0,한양이엔지(주),수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
57,L20210306,물품구매,협의체 플랫폼 ASTX SW 유지보수,2021-02-17,2021-02-17,2021-03-18,23760000.0,대전조달청,제3자단가,,,경영공시9_구매계약현황(2021년).xlsx,결과
58,L20210304,물품구매,남극 세종위성관제소 3m 안테나 Feed 예비품 구매,2021-02-18,2021-02-18,2021-05-28,87000000.0,(주)솔탑,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
59,L20210309,용역,KF-X 구조시험장비 점검 및 유지보수,2021-02-18,2021-02-18,2022-11-30,77600000.0,엠티에스코리아(주),수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
60,L20210310,물품구매,다목적실용위성7호 탑재체 열진공시험용 열차폐장치(MLI) 제작,2021-02-18,2021-02-18,2021-06-30,77850000.0,주식회사 이엘엠,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
61,L20210317,용역,저궤도 위성 운영 주파수망 분석 및 유지관리 용역,2021-02-18,2021-02-18,2021-12-24,74800000.0,주식회사 웨이브온,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
62,L20210318,용역,정부 협의체 온라인 교육 콘텐츠 제작,2021-02-18,2021-02-18,2021-04-23,64000000.0,(주)에듀필컨설팅,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
63,L20210319,제작,대형수송함 풍동시험 모델 제작,2021-02-18,2021-02-18,2021-04-09,99000000.0,금토엔지니어링,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
64,L20210316,물품구매,우주환경시험센터 회의실 화상회의용 장비 구매 및 설치,2021-02-19,2021-02-19,2021-05-19,37800000.0,사운드로우,수의계약,26조1항5호가목,,경영공시9_구매계약현황(2021년).xlsx,결과
65,L20210335,물품구매,소방수신기 교체,2021-02-19,2021-02-19,2021-04-22,48752000.0,지멘스(주),수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
66,L20210289,물품구매,부가처리 스토리지 용량증설,2021-02-22,2021-02-22,2021-03-26,26800000.0,(주)라온정보,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
67,L20210305,용역,수직이착륙 무인기 외부조종 및 정비 용역,2021-02-22,2021-02-22,2021-12-31,37300000.0,성우엔지니어링,수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
68,L20210312,물품구매,한반도 모자이크영상 DB 저장장치,2021-02-22,2021-02-22,2021-04-02,28100000.0,(주)라온정보,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
69,L20210327,물품구매,농림위성 탑재체 EGSE 노후부품의 대체 부품,2021-02-22,2021-02-22,2021-05-21,44152900.0,(주)티엠시스,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
70,L20210350,제작,소음측정용 프롭로터 지상시험 장치 제작,2021-02-22,2021-02-22,2021-09-30,181300000.0,케이티아이엔씨주식회사,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
71,L20210336,물품구매,터보펌프 구조해석용 소프트웨어(ABAQUS QPP Portfolio) 1년 임대,2021-02-23,2021-02-23,2021-03-24,29300000.0,피엘엠테크 주식회사,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
72,L20210344,물품구매,천리안위성 영상자료 백업 저장장비,2021-02-23,2021-02-23,2021-04-23,27800000.0,(주)라온정보,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
73,L20210359,물품구매,전산유체해석을 위한 상용 CFD S/W 라이선스 1년 임차 구매,2021-02-23,2021-02-23,2021-03-24,53900000.0,지멘스인더스트리소프트웨어 주식회사,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
74,L20210355,물품구매,EO/IR위성 시험용 신호 측정 장비 구매,2021-02-24,2021-02-24,2021-05-24,27625400.0,인코,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
75,L20210372,용역,2021년도 보조처리시스템 유지보수,2021-02-24,2021-02-24,2021-12-20,65000000.0,(주)픽소니어,수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
76,L20210370,용역,드론 영상 객체 검출 시스템 개선,2021-02-25,2021-02-25,2021-12-15,33300000.0,성균관대학교산학협력단,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
77,L20210373,용역,2021년도 전기설비 정밀안전진단용역,2021-02-25,2021-02-25,2021-12-31,61767000.0,한진이에스앤 주식회사,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
78,L20210367,물품구매,우주환경시험 고속촬영 카메라용 용품,2021-02-26,2021-02-26,2021-04-26,27500000.0,삼우과학,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
79,L20210368,물품구매,한국형발사체 1단 추진제 탱크 FM3 전도성페인트 구매,2021-02-26,2021-02-26,2021-05-31,27840000.0,엔이케이 주식회사,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
80,L20210382,용역,"OPPAV 실기체용 작동기 3종 EMI, 환경시험 용역",2021-02-26,2021-02-26,2021-06-30,149000000.0,(주)컨트로맥스,수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
81,L20210383,용역,한국형 위성항법시스템 (KPS)을 위한 정밀궤도결정 (POD) 성능개선 연구,2021-02-26,2021-02-26,2021-12-24,75500000.0,연세대학교 산학협력단,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
82,L20210385,물품구매,시험용 달궤도선 전장품 SI-PI 설계해석 소프트웨어(Slwave) 업그레이드 및 유지보수,2021-03-01,2021-03-01,2021-03-31,58000000.0,주식회사휴윈,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
83,L20210386,물품구매,연구논문 표절검사시스템(CopyKiller) 라이센스 구매,2021-03-01,2021-03-01,2021-03-22,28000000.0,주식회사 무하유,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
84,L20210377,용역,전기동력 수직이착륙 축소기 A호기 수리 용역,2021-03-02,2021-03-02,2021-03-31,38900000.0,성우엔지니어링,수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
85,L20210379,용역,다목적실용위성 7호 자이로 관련 전기검증모델(ETB) 운용 기술용역,2021-03-02,2021-03-02,2021-04-30,21000000.0,(주)제이아이티솔루션,수의계약,26조1항5호가목,,경영공시9_구매계약현황(2021년).xlsx,결과
86,L20210384,물품구매,달궤도선 심우주지상안테나 외부네트워크 전산장비 구매 및 설치,2021-03-02,2021-03-01,2022-07-29,181440000.0,(주)새암정보기술,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
87,L20210391,용역,위성영상 부가산출물 검증용 지상관측타워 관측장비 이전설치 및 구조물 개선,2021-03-03,2021-03-03,2021-04-30,27874000.0,주식회사쏠단,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
88,L20210395,제작,차세대 중형위성 1호 정밀 모사 모델 (1/3) 제작,2021-03-03,2021-03-03,2021-04-23,27100000.0,물샘열둘,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
89,L20210408,물품구매,아리랑위성 지상안테나(K07/K13) GPS장비 고도화 장비 구입,2021-03-03,2021-03-03,2021-04-30,64900000.0,지티에스솔루션즈(주),수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
90,L20210406,용역,2021년도 한국항공우주연구원(본원) 화재보험,2021-03-04,2021-03-16,2022-03-16,24256100.0,사단법인한국화재보험협회,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
91,L20210411,용역,다중위성 형상관리 및 자료관리 시스템 유지보수,2021-03-04,2021-03-04,2021-12-31,31845000.0,(주)한컴인스페이스,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
92,L20210402,물품구매,다목적실용위성 7A호 탑재체 개발을 위한 궤도열해석 소프트웨어 구매,2021-03-05,2021-03-05,2021-04-23,42550200.0,에이블맥스(주),수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
93,L20210432,물품구매,천리안 1호 13m 안테나 긴급 복구용 장비 및 부품 구매,2021-03-05,2021-03-05,2021-10-29,30980000.0,(주)컨텍,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
94,L20210381,용역,"외부연료탱크, 파일런 시험 Setup 및 시험지원 기술용역",2021-03-08,2021-02-26,2022-04-30,79000000.0,(주)선영시스텍,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
95,L20210439,물품구매,한국형발사체 탑재위성 센서 구매,2021-03-08,2021-03-08,2021-05-06,25681340.0,제이엠케이,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
96,L20210451,물품구매,2021년도 연구원 가스공급 단가계약,2021-03-10,2021-03-10,2022-03-31,400000000.0,중앙산업가스(주),제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
97,L20210455,용역,항공기(CTLS 1호기)  보험,2021-03-10,2021-03-15,2022-03-14,33530000.0,주식회사 케이비손해보험,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
98,L20210456,용역,한국형 위성항법시스템(KPS) 항법신호 설계를 위한 호환성 분석 및 인증 기법 연구,2021-03-10,2021-03-10,2021-12-31,189000000.0,충남대학교산학협력단,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
99,L20210453,용역,무인항공기 비행상황에 따른 항법센서 성능 비교시험 용역,2021-03-11,2021-03-11,2021-10-31,29300000.0,한서대학교산학협력단,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
100,L20210454,제작,한국형발사체 FM 사전 분리시험 및 저충격 위성분리장치 제작,2021-03-11,2021-03-11,2021-08-31,48000000.0,(주)대아테크,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
101,L20210468,제작,EOIR위성 FM 전자통합시험용 기자재 구매 및 제작,2021-03-11,2021-03-11,2021-06-28,68000000.0,에스티아이 주식회사,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
102,L20210461,용역,구조시험용 하중제어장비 유지보수 기술용역,2021-03-12,2021-03-12,2021-10-31,20900000.0,한국무그(주),수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
103,L20210470,물품구매,고주파 동압센서 수리 및 교체품 구매,2021-03-12,2021-03-12,2021-04-12,21242100.0,케이티엠테크놀로지(주),수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
104,L20210480,용역,나로우주센터 해안복합 감시시스템 열영상카메라 추가 교체,2021-03-12,2021-03-12,2021-07-12,59600000.0,(주)글로벌시스템스,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
105,L20210481,용역,"한국형발사체 이동형 온도제어 유닛용 조립동 전원, 천막 제작/설치 및 히터제어 작업",2021-03-12,2021-03-12,2021-05-10,82400000.0,(주)에너베스트,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
106,L20210489,용역,21년 항공우주 연구개발 4K 프로그램 영상촬영,2021-03-12,2021-03-12,2021-12-31,31660200.0,제이에스 조인미디어,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
107,L20210479,용역,누리호 종합연소시험 참관행사 대행 용역,2021-03-15,2021-03-12,2021-04-30,388000000.0,(주)에프엠커뮤니케이션즈,수의계약,26조1항1호나목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
108,L20210487,제작,차세대중형위성 1호 운영 매뉴얼 제작,2021-03-15,2021-03-15,2021-10-29,38600000.0,주식회사 아이옵스,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
109,L20210496,용역,2021년도 한국항공우주연구원(나로우주센터) 재산종합보험,2021-03-16,2021-03-16,2022-03-16,87358123.0,현대해상화재보험(주),제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
110,L20210500,용역,AI반도체 기반 객체 탐지 기술 개발,2021-03-16,2021-03-16,2021-12-15,42300000.0,상명대학교 천안산학협력단,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
111,L20210521,물품구매,천리안위성 2B호 안테나 장비 및 부품 구매,2021-03-16,2021-03-16,2021-10-29,376500000.0,(주)컨텍,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
112,L20210495,용역,하중제어장비 유지보수,2021-03-17,2021-03-17,2021-04-30,21494000.0,한국무그(주),수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
113,L20210515,용역,초고속 무인기 지구재돌입 고온유동/열전달량 해석 및 열보호시스템 통합 성능해석 S/W 개발,2021-03-17,2021-03-17,2021-12-10,29300000.0,서울대학교 산학협력단,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
114,L20210517,물품구매,터보프롭 엔진 테스트 리그 구매,2021-03-17,2021-03-17,2021-06-16,20460000.0,연파워,수의계약,26조1항5호가목,,경영공시9_구매계약현황(2021년).xlsx,결과
115,L20210524,제작,화약전달계통 성능시험용 국산화 안전장전장치 제작,2021-03-17,2021-03-17,2021-08-31,45500000.0,퍼스텍(주),수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
116,L20210531,용역,한국형발사체 품질보증관리시스템 기능 향상 용역,2021-03-17,2021-03-17,2021-11-12,20000000.0,(주)메이아이,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
117,L20210523,용역,진동시험용 슬립테이블 모드시험 및 F.E 해석모델의 Correlation 기술용역,2021-03-18,2021-03-18,2021-12-31,48200000.0,주식회사 브이엠브이테크,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
118,L20210543,용역,초고속 무인기 지구재돌입 열보호시스템 극초음속 풍동실험,2021-03-18,2021-03-18,2021-12-10,29350000.0,한국과학기술원,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
119,L20210545,물품구매,MSC/Nastran 유지보수,2021-03-19,2021-03-19,2021-05-17,31130000.0,한국엠에스씨소프트웨어(주),수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
120,L20210563,물품구매,EOS 조립정렬시설 내 온도 모니터링 센서 구매,2021-03-19,2021-03-19,2021-05-15,26083530.0,칼자이스(주),수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
121,L20210472,용역,장애대응 매뉴얼 품질관리시스템 이식 및 연동,2021-03-22,2021-03-22,2021-11-16,47500000.0,(주)한컴인스페이스,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
122,L20210546,물품구매,"다목적실용위성7A호 탑재체 동적 구조 분석용 소프트웨어 (NXN002, Nastran Advanced Dynamic)",2021-03-22,2021-03-22,2021-04-20,28700000.0,주식회사 몰드케어,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
123,L20210547,물품구매,항공기용 초분광기 편광제거판 구매,2021-03-22,2021-03-22,2021-08-18,59983000.0,오엠에이,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
124,L20210566,용역,한국형발사체(누리호) 방송 다큐멘터리 제작,2021-03-22,2021-03-22,2021-12-31,38700000.0,미디어협동조합 봄,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
125,L20210574,용역,2단계 UTM시뮬레이터 기능 개선설계 및 유지보수,2021-03-22,2021-03-22,2021-12-31,78750000.0,주식회사 앤토스,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
126,L20210573,물품구매,하이브리드 전기추진시스템 설계해석용 MATLAB/Simulink  프로그램 구매,2021-03-23,2021-03-23,2021-04-21,25080000.0,매스웍스코리아 유한회사,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
127,L20210595,용역,전기추진 항공기용 전동기 제어를 위한 공랭식 SiC 인버터 개발,2021-03-23,2021-03-23,2021-12-31,89750000.0,주식회사 효원파워텍,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
128,L20210579,제작,한국형발사체 3단 페이로드지지부 복합재 탑재패널 FM3 시제 제작,2021-03-24,2021-03-24,2021-09-30,47000000.0,(주)한국화이바,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
129,L20210580,물품구매,지상안테나시스템 Loopback 시험용 Test Translator 구매,2021-03-24,2021-03-24,2021-10-15,41451500.0,(주)마밍,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
130,L20210583,제작,한국형발사체 저충격 분리를 위한 일체형 위성분리장치 제작,2021-03-24,2021-03-24,2021-12-24,61900000.0,에스앤케이항공(주),수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
131,L20210605,물품구매,우주과학관 확장사업 건설공사 관급자재(태양광 발전장치) 구매,2021-03-24,2021-03-24,2021-12-31,160421000.0,대전조달청,제3자단가,,,경영공시9_구매계약현황(2021년).xlsx,결과
132,L20210613,용역,초고속 무인기 지구재돌입 내열재료 고온 plasma 풍동실험 및 열보호시스템 종합 성능 검증 시험,2021-03-24,2021-03-24,2021-12-10,69500000.0,전북대학교산학협력단,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
133,L20210581,물품구매,다목적7호 광학계 성능분석 및 불용광해석용 SW(ASAP) 구매,2021-03-25,2021-03-25,2021-06-30,24000000.0,(주)제르니크,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
134,L20210617,용역,2021년 임무관제 가상화시스템 유지보수,2021-03-26,2021-03-26,2022-01-25,33500000.0,(주)라온정보,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
135,L20210629,물품구매,한국형발사체 발사대 산소량모니터링계 센서교체 및 검교정,2021-03-28,2021-03-28,2021-04-26,30900000.0,성화퓨렌텍(주),수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
136,L20210627,용역,발사체 3축 비행운동 시뮬레이터 및 관성항법시스템 캘리브레이션 장비 유지보수,2021-03-29,2021-03-29,2021-12-31,35750000.0,씨앤엘 코포레이션,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
137,L20210618,용역,천리안위성 2B호 실시간운영시스템 유지보수 기술용역,2021-03-30,2021-03-30,2021-12-31,56000000.0,(주)솔탑,수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
138,L20210643,제작,한국형발사체 비행안전 자율판단시스템 시제모델 제작,2021-03-30,2021-03-30,2021-12-17,93800000.0,주식회사비텔링스,수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
139,L20210633,용역,2021년 연구원 전자구매조달시스템 유지보수 용역,2021-04-01,2021-04-01,2022-03-31,44800000.0,(주)인터웹,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
140,L20210641,용역,해외추적소 위성통신망(VSAT) 통신서비스 청약 연장,2021-04-01,2021-04-01,2022-09-30,247028760.0,(주)케이티샛,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
141,L20210642,물품구매,"달탐사선 구조, 착륙 충격해석 SW(LS-DYNA) 구매",2021-04-01,2021-04-01,2021-04-30,27530000.0,컴텍시스템,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
142,L20210656,용역,2021년도 나로우주센터 자동제어시스템 유지관리용역,2021-04-01,2021-04-01,2022-03-31,33750000.0,한국하니웰(주),수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
143,L20210658,용역,한국형 위성항법시스템(KPS) 항법 성능 민감도 분석 시뮬레이터 제작,2021-04-01,2021-04-01,2021-12-31,37850000.0,(주)제이아이티솔루션,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
144,L20210659,용역,단분리 및 저충격 위성분리 장치 성능 시험 및 제작,2021-04-01,2021-04-01,2021-09-30,47500000.0,한양이엔지(주),수의계약,26조1항2호차목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
145,L20210664,물품구매,발사통제 자료처리시스템용 영상 녹화 및 스트리밍 장비(PEARL2) 구매,2021-04-01,2021-04-01,2021-06-30,102999990.0,다알시스 주식회사,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
146,L20210665,물품구매,광학 탑재체 설계용 CATIA V5 연간 유지보수,2021-04-01,2021-04-01,2021-04-30,20240000.0,(주)솔리드이엔지,수의계약,26조1항5호가목,,경영공시9_구매계약현황(2021년).xlsx,결과
147,L20210660,용역,Level1G 선명도 개선을 위한 L1R 최적보간 기술 개발,2021-04-02,2021-04-02,2021-12-17,60700000.0,상명대학교 천안산학협력단,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
148,L20210666,용역,저궤도 위성 지상 안테나 시스템 장비 HDR 오버홀 및 고장수리,2021-04-02,2021-04-02,2021-06-30,29000000.0,주식회사 싸이택,수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
149,L20210667,제작,우주비행체 축소 비행체 제작,2021-04-02,2021-04-02,2021-06-30,23950000.0,하비모델,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
150,L20210671,용역,다중임무 위성원격명령어 지상처리시스템 개발,2021-04-02,2021-04-02,2021-11-30,185240000.0,(주)한컴인스페이스,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
151,L20210672,물품구매,누리호 엔진구조해석용 SW(Abaqus) 라이선스 구매,2021-04-02,2021-04-02,2021-05-03,87560000.0,피엘엠테크 주식회사,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
152,L20210673,용역,"해외추적소 임무용 전용회선 설치, 통신서비스 청약",2021-04-02,2021-04-02,2022-06-30,179993000.0,주식회사 케이티,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
153,L20210668,물품구매,스테레오 입자영상유속계 세트,2021-04-05,2021-04-05,2021-07-03,273000000.0,인텍시스템,일반경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
154,L20210670,물품구매,차세대중형위성2호 열진공환경시험용 Full-range Gauge 구매,2021-04-05,2021-04-05,2021-06-30,32700000.0,삼보인스켐,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
155,L20210694,용역,2021년 축소형탱크 시험설비 유지보수 및 시험지원 용역,2021-04-05,2021-04-05,2021-12-31,108400000.0,한양이엔지(주),수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
156,L20210675,용역,정지궤도위성 지상 안테나 시스템 스펙트럼 분석기 고장 수리,2021-04-06,2021-04-06,2021-06-04,39300800.0,키사이트테크놀로지스코리아 (주),수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
157,L20210703,물품구매,인터넷망 노후 웹디스크 교체 업그레이드,2021-04-06,2021-04-06,2021-05-05,40000000.0,대전조달청,제3자단가,,,경영공시9_구매계약현황(2021년).xlsx,결과
158,L20210704,용역,2021년도 엔진 지상 고공 연소시험설비 유지관리 및 현장 운용 지원 용역,2021-04-06,2021-04-06,2022-02-28,974500000.0,한양이엔지(주),수의계약,26조1항2호바목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
159,L20210676,용역,저고도 무인비행장치 정밀측위 후처리 SW 성능 개선을 위한 GLONASS 후처리 소프트웨어 모듈 개발,2021-04-07,2021-04-07,2021-12-10,28130000.0,세종대학교산학협력단,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
160,L20210698,물품구매,7호 고속압축처리를 위한 고성능 서버 구매,2021-04-07,2021-04-07,2021-05-21,24990000.0,에이치아이티,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
161,L20210012,제작,425사업 EO/IR 위성본체 개발(4차년),2021-04-08,2021-01-01,2021-12-31,4500000000.0,한국항공우주산업(주),제3자단가,,,경영공시9_구매계약현황(2021년).xlsx,결과
162,L20210716,용역,나로우주센터 및 제주추적소 자가용전기설비 안전점검 용역,2021-04-08,2021-04-08,2021-12-15,59841100.0,주식회사기람엔지니어링,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
163,L20210722,용역,광학위성 임무계획검증기술 연구 및 프로토타입 개발,2021-04-08,2021-04-08,2021-12-31,77650000.0,(주)한컴인스페이스,수의계약,26조1항2호사목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
164,L20210720,물품구매,천리안위성 2B호 GPS Timing 장비 구매,2021-04-09,2021-04-09,2021-10-05,47190000.0,지티에스솔루션즈(주),수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
165,L20210721,물품구매,"한국형발사체 2,3단 추진제탱크 FM3 외부도장용 전도성 페인트 구매",2021-04-09,2021-04-09,2021-06-30,21200000.0,엔이케이 주식회사,수의계약,26조1항2호자목 ,,경영공시9_구매계약현황(2021년).xlsx,결과
166,L20210734,물품구매,발사환경시험 가진시스템 해석 SW 구매,2021-04-09,2021-04-09,2021-05-10,53940000.0,주식회사 브이엠브이테크,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
167,L20210732,용역,다중 빔포밍 지상국 안테나 기술 연구 및 위상배열안테나 개발,2021-04-12,2021-04-12,2021-10-31,250000000.0,한밭대학교산학협력단,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
168,L20210736,용역,2021년 발사체 구조시험치구 보관 및 관리 용역,2021-04-12,2021-04-13,2022-04-12,58630000.0,더블유에스엔지니어링 주식회사,수의계약,27조1항2호     ,,경영공시9_구매계약현황(2021년).xlsx,결과
169,L20210738,물품구매,공력소음 프로그램 PowerFlow 계산서버 라이선스 구매,2021-04-12,2021-04-12,2021-05-11,28820000.0,주식회사 브이알앤디,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
170,L20210740,용역,우주개발 방송 다큐멘터리 제작,2021-04-12,2021-04-12,2021-12-31,38742000.0,(주)티아이리스,제한경쟁,,,경영공시9_구매계약현황(2021년).xlsx,결과
